,SHY,IEF,TLT,TIP,LQD,HYG,MBB,BOND,AGG,MOVE,JAAA,BKLN,CMBS,SGOV,BIL,USFR
2020-09-09,75.25354766845703,104.91336822509766,136.50941467285156,101.99010467529297,109.42233276367188,62.14046859741211,93.1347885131836,89.28424835205078,99.63093566894531,48.81999969482422,,15.283419609069824,46.50987243652344,84.36671447753906,77.33903503417969,42.112213134765625
2020-09-10,75.24481964111328,105.04269409179688,137.20321655273438,102.0788345336914,109.50328826904297,61.846961975097656,93.06741333007812,89.40351867675781,99.63938903808594,45.209999084472656,,15.255573272705078,46.69464874267578,84.36248016357422,77.33903503417969,42.12899398803711
2020-09-11,75.26222229003906,105.20654296875,137.49578857421875,102.02237701416016,109.5842514038086,61.97169494628906,93.06741333007812,89.54657745361328,99.7573471069336,43.119998931884766,,15.297348976135254,46.31666946411133,84.36248016357422,77.33055877685547,42.12899398803711
2020-09-14,75.25354766845703,105.11168670654297,137.48741149902344,101.95785522460938,109.8594970703125,61.905635833740234,93.06741333007812,89.51480102539062,99.76576232910156,44.209999084472656,,15.373939514160156,46.23267364501953,84.36248016357422,77.34745788574219,42.12899398803711
2020-09-15,75.26222229003906,105.05992889404297,137.15306091308594,102.03040313720703,109.98089599609375,62.07442092895508,92.94942474365234,89.45120239257812,99.774169921875,43.060001373291016,,15.380899429321289,46.63585662841797,84.36248016357422,77.33055877685547,42.112213134765625
2020-09-16,75.27095794677734,104.99960327148438,136.74351501464844,102.03040313720703,110.05374145507812,62.07442092895508,92.9241714477539,89.46708679199219,99.72366333007812,42.43000030517578,,15.360013961791992,46.33348083496094,84.36248016357422,77.34745788574219,42.12899398803711
2020-09-17,75.25354766845703,105.03408813476562,137.16146850585938,102.0868911743164,110.07803344726562,62.008384704589844,92.94100952148438,89.37169647216797,99.74893951416016,38.45000076293945,,15.346086502075195,46.53506851196289,84.36248016357422,77.34745788574219,42.12899398803711
2020-09-18,75.26222229003906,104.93919372558594,136.735107421875,101.99817657470703,109.87565612792969,61.85424041748047,92.91573333740234,89.39552307128906,99.63093566894531,37.2400016784668,,15.31823444366455,46.53506851196289,84.36248016357422,77.33055877685547,42.112213134765625
2020-09-21,75.25354766845703,105.12893676757812,137.42892456054688,101.81267547607422,109.77042388916016,61.35527801513672,92.85678100585938,89.3239517211914,99.64776611328125,38.630001068115234,,15.23935604095459,46.69464874267578,84.36248016357422,77.33055877685547,42.112213134765625
2020-09-22,75.27095794677734,105.12893676757812,137.3203125,101.84492492675781,109.83517456054688,61.56806182861328,92.90730285644531,89.35579681396484,99.72366333007812,39.349998474121094,,15.260293006896973,46.602264404296875,84.36248016357422,77.33055877685547,42.115562438964844
